Date,Cases,Deaths,Recovered,Travel_history,Province,City
2020-03-30,26,0,1,Iran/Taftan,Punjab,Raiwind
2020-03-30,21,4,2,Local - Social Contact,Sindh,Karachi
2020-03-30,6,0,23,Local - Social Contact,Sindh,Sukkur
2020-03-30,6,0,0,Local - Social Contact,Baluchistan,Quetta
2020-03-30,18,0,4,Unknown,Gilgit-Baltistan,Nagar
2020-03-30,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Bajaur
2020-03-30,3,0,0,Iran/Taftan,Khyber Pakhtunkhwa,Peshawar
2020-03-30,1,0,0,Unknown,Khyber Pakhtunkhwa,Bannu
2020-03-30,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-03-30,3,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Lower
2020-03-30,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
2020-03-30,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
2020-03-30,16,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
2020-03-31,7,0,0,Unknown,Islamabad Capital Territory,Islamabad
2020-03-31,0,3,0,Iran/Taftan,Punjab,Dera Ghazi Khan
2020-03-31,14,0,0,Local - Social Contact,Punjab,Rawalpindi
2020-03-31,1,0,0,Local - Social Contact,Punjab,Mianwali
2020-03-31,1,0,0,Local - Social Contact,Punjab,Rahim Yar Khan
2020-03-31,5,0,0,Local - Social Contact,Punjab,Hafizabad
2020-03-31,1,0,0,Local - Social Contact,Punjab,Kasur
2020-03-31,1,0,0,Local - Social Contact,Punjab,Laiya
2020-03-31,16,0,0,Local - Social Contact,Sindh,Hyderabad
2020-03-31,0,0,10,Iran/Taftan,Sindh,Sukkur
2020-03-31,94,0,0,Tableeghi Jamaat,Sindh,Hyderabad
2020-03-31,1,0,0,Local - Social Contact,Sindh,Jacobabad
2020-03-31,14,0,17,Iran/Taftan,Baluchistan,Quetta
2020-03-31,37,0,0,Unknown,Gilgit-Baltistan,Nagar
2020-03-31,0,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar
2020-03-31,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Bajaur
2020-03-31,3,0,0,Unknown,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-03-31,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur
2020-03-31,10,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
2020-03-31,1,0,5,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
2020-03-31,1,0,0,Iran/Taftan,Federal Administration Tribal Area,Kurrum
2020-03-31,4,1,10,Iran/Taftan,Khyber Pakhtunkhwa,Dera Ismail Khan
2020-03-31,10,0,0,Unknown,Khyber Pakhtunkhwa,Peshawar
2020-04-01,13,0,0,International Passenger,Islamabad Capital Territory,Islamabad
2020-04-01,2,0,0,Unknown,Azad Jummu Kashmir,Bhambore 
2020-04-01,1,0,0,Unknown,Azad Jummu Kashmir,Trarkhel
2020-04-01,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Bannu
2020-04-01,1,1,0,Local - Social Contact,Khyber Pakhtunkhwa,Peshawar
2020-04-01,0,0,2,Local - Social Contact,Khyber Pakhtunkhwa,Nowshera
2020-04-01,3,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Abbottabad
2020-04-01,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Dir Upper
2020-04-01,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Haripur
2020-04-01,1,0,0,Local - Social Contact,Federal Administration Tribal Area,Khyber
2020-04-01,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Kohat
2020-04-01,2,0,0,Local - Social Contact,Federal Administration Tribal Area,Kurrum
2020-04-01,2,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Mansehra
2020-04-01,7,0,10,Local - Social Contact,Khyber Pakhtunkhwa,Mardan
2020-04-01,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Orakzai
2020-04-01,1,0,0,Local - Social Contact,Khyber Pakhtunkhwa,Tank
2020-04-01,1,0,0,Local - Social Contact,Federal Administration Tribal Area,South Waziristan
